TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"4581430","Magic","The List Reprints","Gigantosaurus","","185/280","R","Near Mint - Japanese","0.39","","1.3400","0.0300","1","0","0.3900",""
"8544721","Magic","Aetherdrift","Mimeoplasm, Revered One (Showcase)","","405","M","Near Mint Foil - Japanese","1.58","","2.4300","1.1200","1","0","1.5800",""
"8535837","Magic","Aetherdrift","Mu Yanling, Wind Rider (Showcase)","","399","M","Near Mint Foil - Japanese","4.58","","4.2300","2.9200","1","0","4.6400",""
"8585851","Magic","Tarkir: Dragonstorm","Sarkhan, Dragon Ascendant (0403) (Showcase)","","403","M","Near Mint Foil - Japanese","1.76","","2.2800","0.9700","1","0","1.7400",""
"8260277","Magic","The List Reprints","Vorstclaw (Spanish)","","201/280","C","Near Mint - Spanish","1.58","","2.3500","1.0400","1","0","1.5800",""
